itemID|simulationPrice|promotion
1|3.43|
2|9.15|
3|14.04|
4|14.1|
5|7.48|
6|17.25|
7|34.39|
8|4.98|
9|199.84|
10|24.17|
11|2.13|
12|2.11|
13|10.83|
14|29.67|
15|720.5|
16|159.61|
17|26.38|
18|7.21|
19|79.68|
20|605.04|
21|5.44|
22|37.38|
23|31.58|
24|1.81|
25|10.5|
26|14.27|2018-07-13
27|1.64|2018-07-13
28|67.75|
29|56.13|2018-07-13
30|82.67|
31|14.12|
32|32.09|
33|44.12|
34|80.28|
35|337.84|2018-07-01,2018-07-02,2018-07-13
36|1490.64|
37|24.01|
38|23.17|
39|56.06|
40|804.57|
41|133.27|
42|17.72|
43|98.2|
44|16.33|
45|6.98|
46|7.2|
47|262.92|
48|56.31|
49|84.6|
50|123.15|
51|37.53|
52|10.51|
53|53.79|
54|4.57|
55|2.57|
56|9.99|
57|301.25|
58|277.72|2018-07-13
59|2331.94|
60|99.45|
61|2.38|
62|9.72|
63|63.0|
64|17.02|
65|4.69|
66|100.35|
67|42.34|
68|24.24|
69|33.5|
70|2584.94|
71|420.37|
72|14.45|
73|17.9|
74|27.15|
75|31.34|2018-07-05,2018-07-11
76|844.19|
77|233.14|
78|41.59|
79|31.92|2018-07-05
80|9.06|
81|102.21|
82|19.35|
83|5.19|
84|31.45|
85|5.02|
86|25.53|
87|73.53|2018-07-13
88|1620.82|
89|698.36|
90|110.94|
91|60.03|
92|5.41|2018-07-13
93|43.68|
94|195.1|
95|29.1|
96|19.47|
97|51.53|
98|30.97|
99|610.36|
100|28.71|
101|12.51|
102|37.86|
103|30.95|
104|26.56|
105|85.46|2018-07-01
106|12.74|
107|19.56|2018-07-13
108|5.87|
109|5.8|
110|61.07|
111|4.51|2018-07-04
112|12.22|
113|3.71|
114|46.9|2018-07-01
115|78.46|2018-07-08
116|451.06|
117|10.19|
118|12.22|
119|1012.22|
120|19.12|
121|51.48|
122|6.48|
123|36.63|
124|63.21|
125|5.07|2018-07-08,2018-07-13
126|13.63|2018-07-05,2018-07-11
127|628.72|
128|42.38|
129|23.8|
130|14.73|
131|243.74|
132|375.72|
133|25.62|
134|208.24|
135|33.9|
136|6.68|2018-07-13
137|42.26|
138|11.85|
139|218.86|
140|6940.08|2018-07-13
141|635.39|
142|1241.94|
143|28.99|
144|121.07|
145|204.47|
146|14.12|2018-07-13
147|763.52|2018-07-05
148|17.75|
149|48.45|
150|430.62|
151|3.5|
152|10.71|
153|122.85|
154|21.04|
155|1414.26|
156|47.82|
157|147.38|
158|152.7|
159|35.14|
160|4.09|
161|15.21|
162|58.2|
163|15.9|
164|28.99|2018-07-09
165|112.92|2018-06-30
166|261.99|
167|85.34|
168|42.81|2018-07-08
169|6.35|
170|20.2|2018-07-08
171|79.59|2018-07-08
172|36.63|
173|15.36|
174|10.58|2018-07-01
175|7.07|
176|10.47|
177|38.97|
178|145.53|
179|194.39|
180|12.62|
181|8.29|
182|9.48|
183|17.74|
184|28.9|
185|46.9|
186|12.95|
187|8.29|
188|69.16|
189|15.42|
190|6.89|
191|14.87|
192|44.41|
193|2.97|
194|11.4|
195|14.95|
196|68.77|
197|179.95|
198|222.33|
199|37.3|
200|16.01|
201|19.56|2018-07-13
202|36.63|
203|6.47|
204|150.4|2018-07-13
205|31.24|
206|7.06|
207|31.44|
208|13.35|
209|5.11|
210|32.5|2018-07-13
211|1395.3|2018-07-05
212|30.27|
213|20.12|
214|3.39|
215|31.77|
216|41.97|
217|6.89|
218|15.45|
219|29.95|
220|9.3|2018-07-01
221|45.05|2018-07-13
222|6.12|
223|47.65|
224|57.5|
225|31.35|
226|27.54|
227|12.4|
228|66.97|
229|1549.9|
230|17.38|
231|216.05|
232|38.88|
233|32.23|
234|10.76|
235|27.77|
236|22.85|
237|5.72|
238|47.03|
239|23.29|
240|40.14|
241|69.56|
242|5.22|
243|861.34|
244|118.38|
245|2310.85|
246|675.32|
247|64.81|
248|70.95|
249|11.47|
250|224.59|
251|154.41|
252|14.45|
253|23.87|
254|70.76|
255|304.88|
256|678.65|
257|6.79|
258|79.68|2018-07-08
259|24.68|
260|25.31|
261|39.44|
262|17.25|
263|21.47|
264|37.15|
265|259.12|
266|931.44|
267|2035.18|
268|460.26|2018-07-05
269|21.55|
270|30.42|
271|20.89|
272|26.5|
273|15.89|
274|53.08|2018-07-11
275|14.3|
276|8813.07|
277|178.01|
278|18.19|
279|17.41|
280|10.58|
281|5.23|
282|5.22|
283|42.67|2018-07-13
284|34.32|
285|34.49|2018-07-09
286|4.9|
287|11.34|
288|6.85|
289|41.52|
290|53.88|
291|6.28|
292|39.86|
293|62.03|
294|15.91|2018-07-01
295|37.79|
296|41.79|
297|43.53|
298|66.28|
299|56.49|
300|39.33|
301|66.48|
302|24.37|
303|49.12|2018-07-13
304|14.0|
305|70.0|
306|177.77|
307|5.38|
308|12.65|
309|80.42|
310|135.98|2018-07-06
311|162.57|
312|142.92|
313|100.7|
314|681.4|
315|4.66|
316|23.98|
317|333.37|
318|58.7|
319|73.25|
320|694.8|2018-07-06
321|201.32|2018-07-13
322|553.14|
323|12.67|
324|20.66|
325|20.17|
326|55.21|
327|36.66|
328|21.74|
329|73.03|
330|86.22|
331|43.98|2018-07-06
332|23.9|
333|50.82|2018-07-06
334|44.74|
335|2.07|
336|9.29|
337|47.48|
338|114.42|
339|29.5|
340|12.93|
341|54.3|
342|9.61|
343|53.45|2018-07-09
344|75.41|
345|37.31|
346|7.63|
347|27.58|
348|23.98|
349|14.39|
350|3.65|
351|61.39|2018-07-09
352|299.55|
353|742.25|
354|103.54|2018-07-08,2018-07-11
355|7.38|
356|15.35|
357|63.18|2018-06-30,2018-07-13
358|54.7|2018-06-30
359|33.53|2018-06-30
360|66.87|
361|10.05|
362|45.53|
363|61.49|
364|13.76|
365|690.17|
366|92.29|
367|5.46|
368|12.43|
369|53.88|
370|36.41|
371|38.97|
